ratingId,movieId,userId,rating,timestamp
1,1,1,8.5,1609459200
2,1,2,9.0,1609459300
3,1,3,8.0,1609459400
4,2,1,9.5,1609459500
5,2,2,9.0,1609459600
6,2,3,8.5,1609459700
7,3,1,8.0,1609459800
8,3,2,9.0,1609459900
9,3,3,9.0,1609460000
10,4,1,10.0,1609460100
11,4,2,9.5,1609460200
12,4,3,9.0,1609460300
13,5,1,9.0,1609460400
14,5,2,8.5,1609460500
15,5,3,9.0,1609460600
16,6,1,8.5,1609460700
17,6,2,8.0,1609460800
18,6,3,9.0,1609460900
19,7,1,8.5,1609461000
20,7,2,9.0,1609461100
21,8,1,9.0,1609461200
22,8,2,8.5,1609461300
23,9,1,8.5,1609461400
24,9,2,9.0,1609461500
25,10,1,8.5,1609461600
26,5,242,7.2,1779418150
27,3,309,8.0,1779418156
28,25,311,5.5,1779418186
29,14,841,7.2,1779418187
30,8,893,7.5,1779418188
31,4,167,9.8,1779418208
32,16,236,8.4,1779418209
33,24,155,8.4,1779418213
34,25,475,9.3,1779418214
35,7,943,8.2,1779418241
36,23,585,8.6,1779418269
37,5,920,5.9,1779418371
38,12,618,9.2,1779418399
39,3,913,7.8,1779418427
40,4,729,9.4,1779418428
41,13,871,9.8,1779418429
42,9,653,9.0,1779418454
43,14,468,5.4,1779418455
44,5,370,8.8,1779418456
45,4,995,6.3,1779418481
46,7,760,5.5,1779418482
47,6,375,8.6,1779418509
48,15,112,8.5,1779418536
49,24,536,5.9,1779418564
50,12,819,5.7,1779418565
51,18,683,8.4,1779418566
52,20,186,6.1,1779418591
53,2,983,9.5,1779418592
54,19,274,6.6,1779418593
55,3,515,9.8,1779418619
56,19,781,8.5,1779418646
57,4,162,5.7,1779418673
58,18,994,8.7,1779418703
59,6,823,8.0,1779418731
60,4,721,6.7,1779418758
61,3,462,5.7,1779418786
62,9,199,7.5,1779418787
63,23,642,7.6,1779418813
64,20,578,6.4,1779418841
65,18,600,6.4,1779418842
66,3,960,6.9,1779418869
67,19,193,7.7,1779418870
68,13,920,8.9,1779418896
69,11,483,9.6,1779418923
70,25,158,9.6,1779418924
71,17,979,9.0,1779418951
72,18,870,8.9,1779418978
73,18,419,5.2,1779418979
74,25,711,8.5,1779453854
75,7,454,8.4,1779453855
76,17,660,6.7,1779453883
77,4,741,8.2,1779453884
78,26,953,8.3,1779453885
79,2,704,6.1,1779453913
80,8,815,5.1,1779453914
81,2,309,7.2,1779453944
82,29,151,9.7,1779453945
83,23,536,7.4,1779453946
84,20,107,7.1,1779453961
85,25,376,8.7,1779453992
86,15,531,5.2,1779454022
87,29,336,6.1,1779454052
88,10,138,9.7,1779454053
89,25,889,5.4,1779454054
90,4,307,8.6,1779454082
91,28,129,9.9,1779454112
92,9,277,9.7,1779454113
93,32,250,9.1,1779454114
94,12,875,9.5,1779454142
95,28,201,9.0,1779454143
96,7,304,8.3,1779454172
97,2,268,8.2,1779454173
98,9,875,6.3,1779454174
99,24,772,9.9,1779454202
100,27,127,5.8,1779454203
101,18,194,9.5,1779454204
102,35,108,5.4,1779454232
103,32,472,6.3,1779454262
104,12,484,8.4,1779454263
105,23,830,9.1,1779454292
106,7,311,6.0,1779454322
107,23,527,9.7,1779454352
108,31,695,9.4,1779454382
109,24,334,9.4,1779454383
110,16,552,7.9,1779454412
111,14,825,8.6,1779454413
112,7,745,7.9,1779454414
113,37,950,5.4,1779454442
114,31,639,8.8,1779454443
115,38,279,5.7,1779454444
116,16,503,6.6,1779454472
117,17,170,7.7,1779454473
118,3,555,7.8,1779454474
119,32,308,6.5,1779454502
120,12,496,6.6,1779454503
121,32,565,7.0,1779454504
122,26,396,8.0,1779455623
123,28,944,8.5,1779455654
124,23,379,8.9,1779455655
125,28,520,6.6,1779455656
126,34,849,9.8,1779455684
127,14,558,6.6,1779455685
128,6,250,8.5,1779455686
129,4,613,7.8,1779455714
130,14,574,9.4,1779455744
131,16,405,8.7,1779455774
132,18,244,7.6,1779455775
133,7,397,8.6,1779455776
134,3,128,7.1,1779456003
135,8,949,5.3,1779456004
136,20,580,6.0,1779456005
137,7,426,6.5,1779456035
138,22,951,5.3,1779456063
139,32,105,5.3,1779456094
140,13,414,8.1,1779456095
141,20,895,8.3,1779456124
142,19,348,8.1,1779456153
143,4,356,7.4,1779456182
144,16,315,9.8,1779456183
145,6,841,7.6,1779456212
146,36,965,6.3,1779456213
147,14,902,6.0,1779456214
148,40,294,8.0,1779456242
149,26,677,7.1,1779456243
150,1,430,9.0,1779456244
151,7,324,5.1,1779456271
152,24,312,7.5,1779456300
153,27,572,6.0,1779456301
154,38,522,7.2,1779456329
155,32,747,5.6,1779456362
156,11,691,5.4,1779456363
157,17,750,5.3,1779456392
158,32,317,5.3,1779456393
159,34,854,6.7,1779456421
160,8,462,9.6,1779456422
161,18,720,6.4,1779456423
162,1,817,9.1,1779456450
163,24,238,9.1,1779456451
164,41,527,8.8,1779456479
165,19,711,7.2,1779456480
166,42,720,5.6,1779456509
167,26,870,6.7,1779456538
168,3,224,9.2,1779456567
169,39,462,5.1,1779456596
170,16,984,9.0,1779456625
171,13,781,5.4,1779456655
172,18,802,6.2,1779456656
173,40,607,8.3,1779456684
174,31,953,5.8,1779456685
175,30,170,8.8,1779456686
176,39,783,5.4,1779456714
177,11,922,5.2,1779456744
178,24,891,5.2,1779456745
179,47,556,8.3,1779456773
180,11,590,9.9,1779456802
181,41,208,5.1,1779456803
182,47,297,7.0,1779456804
183,32,379,6.9,1779456831
184,3,312,6.9,1779456860
185,30,316,5.3,1779456889
186,23,275,7.0,1779456919
187,49,146,9.7,1779456948
188,40,635,6.2,1779456949
189,31,224,7.8,1779456950
190,44,262,6.6,1779456977
191,9,991,6.9,1779456978
192,33,577,5.1,1779456979
193,45,788,7.1,1779457006
194,33,844,6.0,1779457007
195,23,176,8.5,1779457035
196,1,966,7.9,1779457064
197,2,138,7.2,1779457093
198,48,603,8.8,1779457094
199,24,793,5.8,1779457095
200,24,884,5.0,1779457123
201,31,255,5.7,1779457153
202,37,140,7.4,1779457154
203,48,120,5.8,1779457182
204,1,159,8.1,1779457183
205,41,251,7.1,1779457184
206,40,920,5.4,1779457211
207,2,750,7.3,1779457240
208,46,502,5.6,1779457269
209,7,299,5.2,1779457270
210,9,194,7.3,1779457271
211,9,669,7.8,1779457298
212,22,117,9.5,1779457299
213,25,793,5.1,1779457300
214,4,427,9.8,1779457328
215,9,590,9.7,1779457329
216,31,311,9.8,1779457330
217,10,516,9.6,1779457357
218,40,190,5.6,1779457358
219,46,819,8.6,1779457359
220,4,957,5.5,1779457386
221,25,823,6.6,1779457415
222,41,720,9.2,1779457416
223,18,549,7.1,1779457444
224,46,968,8.2,1779457445
225,6,983,6.2,1779457473
226,4,987,9.6,1779457474
227,14,184,9.0,1779457475
228,11,152,7.2,1779457502
229,20,573,6.0,1779457503
